Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
HISTO_KF.Contig597.fgenesh_plus.15.final_new_mrna	0.004	No mitochondrial presequence	19(MPP)	0.053	16-20	10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GX.Contig6.genewise.3.final_new_mrna	0.005	No mitochondrial presequence	14(MPP)	-0.143		12-21-low	-	-	-	-	-	-	15-20	-	-	-	-	-	-	-	
HISTO_EA.Contig33.eannot.1622.final_new_mrna	0.000	No mitochondrial presequence	26(MPP)	-0.077		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AL.Contig317.Fgenesh_Neurospora.122.final_new_mrna	0.000	No mitochondrial presequence	18(MPP)	0.000		5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZU.Contig65.Fgenesh_histo.131.final_new_mrna	0.000	No mitochondrial presequence	9(MPP)	-0.222		5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DY.Contig31.eannot.1453.final_new_mrna	0.064	No mitochondrial presequence	18(MPP), 26(Oct1)	0.000		15-24-high	-	-	-	-	-	-	-	-	14-19	-	13-18	-	-	-	
HISTO_ZY.Contig518.Fgenesh_histo.51.final_new_mrna	0.000	No mitochondrial presequence	38(MPP)	0.053		14-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DA.Contig93.eannot.1954.final_new_mrna	0.904	Possessing mitochondrial presequence	20(MPP)	0.150	35-39,56-60	1-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_EA.Contig33.eannot.1558.final_new_mrna	0.000	No mitochondrial presequence	94(MPP)	-0.223		4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_HS.Contig68.Fgenesh_Neurospora.188.final_new_mrna	0.000	No mitochondrial presequence	46(MPP)	-0.043		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_EA.Contig33.eannot.1685.final_new_mrna	0.000	No mitochondrial presequence	15(MPP)	0.067	21-25,38-42	15-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig93.Fgenesh_histo.23.final_new_mrna	0.029	No mitochondrial presequence	11(MPP)	0.000		1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_HS.Contig68.Fgenesh_Aspergillus.184.final_new_mrna	0.018	No mitochondrial presequence	14(MPP)	0.143	65-69	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_KF.Contig597.Fgenesh_Neurospora.87.final_new_mrna	0.000	No mitochondrial presequence	34(MPP)	-0.059	54-58	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DA.Contig93.Fgenesh_Aspergillus.297.final_new_mrna	0.011	No mitochondrial presequence	23(MPP)	0.087	85-89	5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AZ.Contig47.Fgenesh_Aspergillus.48.final_new_mrna	0.000	No mitochondrial presequence	75(MPP)	-0.093	66-70	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GL.Contig285.Fgenesh_histo.12.final_new_mrna	0.006	No mitochondrial presequence	57(MPP)	0.088	57-61	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LF.Contig359.Fgenesh_histo.260.final_new_mrna	0.000	No mitochondrial presequence	28(MPP)	-0.036	53-57,60-64,75-79	12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ER.Contig17.eannot.1325.final_new_mrna	0.006	No mitochondrial presequence	17(MPP)	0.118	43-47	8-17-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161e.Fgenesh_Aspergillus.71.final_new_mrna	0.007	No mitochondrial presequence	21(MPP)	0.143		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig658-snap.32.final_new_mrna	0.000	No mitochondrial presequence	75(MPP)	-0.107		1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig933.Fgenesh_histo.56.final_new_mrna	0.004	No mitochondrial presequence	11(MPP)	0.000		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_FE.Contig19.Fgenesh_Neurospora.23.final_new_mrna	0.004	No mitochondrial presequence	40(MPP)	0.025		6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_EA.Contig33.eannot.1585.final_new_mrna	0.000	No mitochondrial presequence	31(MPP)	0.032	64-68	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig940.Fgenesh_Aspergillus.9.final_new_mrna	0.150	No mitochondrial presequence	38(MPP), 39(Icp55)	0.158	48-52	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_CH.Contig45-snap.1.final_new_mrna	0.000	No mitochondrial presequence	20(MPP), 21(Icp55)	-0.050		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GL.Contig233.Fgenesh_histo.6.final_new_mrna	0.124	No mitochondrial presequence	15(MPP)	0.133		8-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig1089.Fgenesh_histo.164.final_new_mrna	0.823	Possessing mitochondrial presequence	8(MPP)	0.250	57-61,93-97	1-10-high	-	-	-	-	-	-	-	-	-	-	2-7	-	-	-	
HISTO_ZW.Contig245.Fgenesh_Neurospora.55.final_new_mrna	0.026	No mitochondrial presequence	17(MPP)	0.118	96-100	11-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig127b.eannot.1407.final_new_mrna	0.000	No mitochondrial presequence	35(MPP)	-0.143		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AP.Contig11.fgenesh_plus.1.final_new_mrna	0.000	No mitochondrial presequence	12(MPP)	0.083	37-41	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_JG.Contig206.genewise.58.final_new_mrna	0.000	No mitochondrial presequence	19(MPP)	-0.053		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1131.eannot.1931.final_new_mrna	0.000	No mitochondrial presequence	15(MPP)	0.000		13-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_FJ.Contig643.Fgenesh_Aspergillus.16.final_new_mrna	0.000	No mitochondrial presequence	5(MPP)	0.000		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig940-snap.38.final_new_mrna	0.000	No mitochondrial presequence	53(MPP)	-0.019	51-55,72-76	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	7-12	
HISTO_LG.Contig392.Fgenesh_Aspergillus.181.final_new_mrna	0.000	No mitochondrial presequence	56(MPP)	-0.054		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GI.Contig363.Fgenesh_histo.52.final_new_mrna	0.045	No mitochondrial presequence	27(MPP)	0.074		8-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BP.Contig459.Fgenesh_Aspergillus.104.final_new_mrna	0.048	No mitochondrial presequence	61(MPP)	-0.049	39-43,76-80,79-83	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig936.fgenesh_plus.7.final_new_mrna	0.000	No mitochondrial presequence	80(MPP)	-0.188		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AAR.Contig2.Fgenesh_histo.1.final_new_mrna	0.436	Possessing mitochondrial presequence	65(MPP)	0.123	3-7,53-57	18-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig940.Fgenesh_histo.62.final_new_mrna	0.007	No mitochondrial presequence	72(MPP)	0.028		4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LF.Contig359.Fgenesh_histo.53.final_new_mrna	0.000	No mitochondrial presequence	39(MPP), 40(Icp55)	0.103	48-52	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DU.Contig190-snap.65.final_new_mrna	0.000	No mitochondrial presequence	7(MPP)	0.000		20-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZU.Contig2.Fgenesh_Aspergillus.5.final_new_mrna	0.000	No mitochondrial presequence	26(MPP)	-0.385	68-72,72-76	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DY.Contig31-snap.16.final_new_mrna	0.000	No mitochondrial presequence	34(MPP), 35(Icp55)	0.029	32-36	20-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GL.Contig285.Fgenesh_histo.26.final_new_mrna	0.000	No mitochondrial presequence	62(MPP)	-0.016		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1117.Fgenesh_Aspergillus.36.final_new_mrna	0.000	No mitochondrial presequence	75(MPP)	-0.067		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_HS.Contig68.Fgenesh_histo.53.final_new_mrna	0.009	No mitochondrial presequence	66(MPP), 67(Icp55)	0.121	95-99	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AL.Contig320.eannot.1101.final_new_mrna	0.965	Possessing mitochondrial presequence	27(MPP)	0.185	9-13	9-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1131-snap.90.final_new_mrna	0.000	No mitochondrial presequence	45(MPP)	-0.067	42-46	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AL.Contig320.Fgenesh_Neurospora.29.final_new_mrna	0.022	No mitochondrial presequence	24(MPP)	0.042	6-10,30-34,49-53,65-69	5-14-high	-	-	-	-	-	10-15	-	-	-	9-14	-	-	-	-	
HISTO_ZT.Contig181.Fgenesh_histo.27.final_new_mrna	0.004	No mitochondrial presequence	47(MPP)	0.000	30-34,54-58	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1158.Fgenesh_Aspergillus.50.final_new_mrna	0.061	No mitochondrial presequence	20(MPP)	0.100		14-23-low	-	-	-	-	-	-	17-22	-	-	-	-	-	-	16-21	
HISTO_ZT.Contig1089-snap.48.final_new_mrna	0.004	No mitochondrial presequence	15(MPP)	-0.067	12-16,84-88	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GY.Contig471.eannot.1307.final_new_mrna	0.007	No mitochondrial presequence	86(MPP)	-0.058	16-20,38-42	18-27-high	-	-	-	-	-	-	-	-	-	-	-	-	16-21	-	
HISTO_DU.Contig190.Fgenesh_histo.11.final_new_mrna	0.000	No mitochondrial presequence	25(MPP)	-0.080		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZU.Contig65.Fgenesh_Aspergillus.275.final_new_mrna	0.000	No mitochondrial presequence	60(MPP)	0.083	39-43	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161c.eannot.1523.final_new_mrna	0.000	No mitochondrial presequence	68(MPP)	-0.191	88-92	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GX.Contig297.Fgenesh_histo.127.final_new_mrna	0.008	No mitochondrial presequence	54(MPP)	-0.185		1-10-high	-	-	-	-	-	-	-	4-9	-	-	-	-	-	3-8	
HISTO_FE.Contig19.Fgenesh_histo.85.final_new_mrna	0.000	No mitochondrial presequence	12(MPP), 13(Icp55)	0.000		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GL.Contig233.eannot.1178.final_new_mrna	0.012	No mitochondrial presequence	32(MPP)	0.062		12-21-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DU.Contig190.Fgenesh_histo.94.final_new_mrna	0.000	No mitochondrial presequence	14(MPP)	0.071	24-28	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig936.Fgenesh_histo.43.final_new_mrna	0.131	No mitochondrial presequence	22(MPP)	0.182	77-81	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DF.Contig537.Fgenesh_histo.64.final_new_mrna	0.069	No mitochondrial presequence	23(MPP)	0.261		9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DU.Contig204.Fgenesh_Aspergillus.10.final_new_mrna	0.000	No mitochondrial presequence	59(MPP)	-0.034		16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LG.Contig392.fgenesh_plus.97.final_new_mrna	0.003	No mitochondrial presequence	19(MPP)	0.053		14-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig93.eannot.1686.final_new_mrna	0.000	No mitochondrial presequence	60(MPP)	0.033	12-16	8-17-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161e.Fgenesh_Aspergillus.80.final_new_mrna	0.000	No mitochondrial presequence	23(MPP)	-0.043		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GL.Contig296.Fgenesh_histo.117.final_new_mrna	0.168	No mitochondrial presequence	11(MPP)	0.364	12-16	10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AL.Contig317.Fgenesh_Neurospora.129.final_new_mrna	0.003	No mitochondrial presequence	56(MPP)	0.000	27-31,35-39	1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161c.Fgenesh_histo.126.final_new_mrna	0.055	No mitochondrial presequence	25(MPP)	0.120	22-26,93-97	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DF.Contig537.Fgenesh_Aspergillus.58.final_new_mrna	0.000	No mitochondrial presequence	46(MPP)	0.109		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig933.Fgenesh_Neurospora.138.final_new_mrna	0.000	No mitochondrial presequence	15(MPP)	-0.067	81-85	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161c.eannot.1454.final_new_mrna	0.017	No mitochondrial presequence	22(MPP)	0.136		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DF.Contig537.Fgenesh_Aspergillus.124.final_new_mrna	0.027	No mitochondrial presequence	53(MPP)	0.132	3-7,39-43	3-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GX.Contig297.fgenesh_plus.50.final_new_mrna	0.003	No mitochondrial presequence	41(MPP)	-0.073		15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_FE.Contig19.Fgenesh_histo.116.final_new_mrna	0.077	No mitochondrial presequence	34(MPP)	0.206		5-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig93.Fgenesh_histo.36.final_new_mrna	0.745	Possessing mitochondrial presequence	25(MPP)	0.160		3-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DA.Contig93.Fgenesh_histo.281.final_new_mrna	0.406	Possessing mitochondrial presequence	58(MPP)	0.052	22-26	1-10-low	-	-	-	-	22-27	-	-	-	-	-	-	-	-	-	
HISTO_GL.Contig296.Fgenesh_histo.14.final_new_mrna	0.000	No mitochondrial presequence	56(MPP)	-0.054	76-80	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BP.Contig457.genewise.79.final_new_mrna	0.000	No mitochondrial presequence	8(MPP)	0.000		14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_JG.Contig206.Fgenesh_Aspergillus.189.final_new_mrna	0.000	No mitochondrial presequence	59(MPP)	-0.085	78-82	11-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_HS.Contig68.Fgenesh_Aspergillus.198.final_new_mrna	0.000	No mitochondrial presequence	63(MPP)	0.000		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
REPEAT_NAA.Contig17f-snap.1.final_new_mrna	0.000	No mitochondrial presequence	54(MPP), 55(Icp55)	-0.130	51-55	11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_EA.Contig33-snap.81.final_new_mrna	0.762	Possessing mitochondrial presequence	16(MPP)	0.250	81-85	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_EK.Contig2.Fgenesh_Aspergillus.4.final_new_mrna	0.012	No mitochondrial presequence	25(MPP)	-0.040	23-27,50-54	9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_EA.Contig33.eannot.1647.final_new_mrna	0.024	No mitochondrial presequence	23(MPP)	0.043		5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZU.Contig65.Fgenesh_histo.272.final_new_mrna	0.480	Possessing mitochondrial presequence	35(MPP)	0.143	16-20	12-21-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GY.Contig471.fgenesh_plus.45.final_new_mrna	0.000	No mitochondrial presequence	59(MPP)	-0.102		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GP.Contig38.Fgenesh_Aspergillus.10.final_new_mrna	0.037	No mitochondrial presequence	31(MPP)	0.065	17-21,48-52,78-82	2-11-low	-	-	-	-	17-22	-	-	-	-	-	-	-	-	-	
HISTO_EA.Contig33.eannot.1550.final_new_mrna	0.000	No mitochondrial presequence	30(MPP)	0.100		19-28-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GL.Contig296.Fgenesh_histo.122.final_new_mrna	0.000	No mitochondrial presequence	15(MPP)	-0.067		6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DA.Contig93.eannot.2014.final_new_mrna	0.000	No mitochondrial presequence	24(MPP), 25(Icp55)	0.042	79-83,82-86	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig127b.Fgenesh_Neurospora.82.final_new_mrna	0.000	No mitochondrial presequence	16(MPP), 17(Icp55)	-0.125		19-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GL.Contig233.eannot.1174.final_new_mrna	0.000	No mitochondrial presequence	24(MPP)	0.083		6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_JG.Contig206.Fgenesh_Aspergillus.51.final_new_mrna	0.006	No mitochondrial presequence	18(MPP)	0.056		4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DU.Contig190.Fgenesh_histo.68.final_new_mrna	0.102	No mitochondrial presequence	58(MPP)	0.086	2-6,5-9,34-38,39-43	1-10-high	-	-	-	-	2-7	-	-	-	-	-	-	-	-	-	
HISTO_BP.Contig457.eannot.1688.final_new_mrna	0.000	No mitochondrial presequence	20(MPP)	-0.100	4-8,17-21,48-52	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig940-snap.51.final_new_mrna	0.000	No mitochondrial presequence	12(MPP)	0.167	47-51	9-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BP.Contig457-snap.68.final_new_mrna	0.017	No mitochondrial presequence	11(MPP)	0.091		8-17-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LAG.Contig1.genewise.1.final_new_mrna	0.000	No mitochondrial presequence	50(MPP)	-0.060		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LF.Contig359.eannot.2092.final_new_mrna	0.015	No mitochondrial presequence	67(MPP)	0.075	25-29,41-45	20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BP.Contig457.Fgenesh_histo.157.final_new_mrna	0.000	No mitochondrial presequence	82(MPP)	-0.085	79-83	11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DF.Contig537-snap.85.final_new_mrna	0.043	No mitochondrial presequence	14(MPP)	0.071	11-15	10-19-low	-	-	-	-	-	-	-	-	-	-	-	10-15	-	-	
HISTO_DF.Contig537.Fgenesh_Aspergillus.106.final_new_mrna	0.004	No mitochondrial presequence	23(MPP)	0.087	4-8,39-43	16-25-high	-	-	-	-	-	23-28	-	-	-	-	-	-	-	-	
HISTO_LG.Contig392.Fgenesh_histo.236.final_new_mrna	0.000	No mitochondrial presequence	20(MPP), 21(Icp55)	0.050		19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig127a-snap.112.final_new_mrna	0.010	No mitochondrial presequence	46(MPP)	0.000	22-26,28-32,43-47	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GL.Contig296.Fgenesh_histo.101.final_new_mrna	0.003	No mitochondrial presequence	9(MPP)	-0.222	35-39	18-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DF.Contig537.Fgenesh_histo.95.final_new_mrna	0.017	No mitochondrial presequence	12(MPP)	0.500	25-29	11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1131-snap.171.final_new_mrna	0.000	No mitochondrial presequence	68(MPP)	0.015		11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig933.Fgenesh_histo.171.final_new_mrna	0.003	No mitochondrial presequence	66(MPP)	0.076	63-67	14-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GX.Contig297.Fgenesh_histo.3.final_new_mrna	0.000	No mitochondrial presequence	66(MPP)	-0.030	19-23,76-80	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_FE.Contig19.Fgenesh_Neurospora.148.final_new_mrna	0.024	No mitochondrial presequence	11(MPP)	0.182	8-12	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DF.Contig537.eannot.1339.final_new_mrna	0.025	No mitochondrial presequence	12(MPP), 20(Oct1)	0.083		13-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GB.Contig114.Fgenesh_Aspergillus.27.final_new_mrna	0.003	No mitochondrial presequence	55(MPP)	0.000	36-40,41-45,61-65,77-81,96-100	1-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AL.Contig320.Fgenesh_Neurospora.15.final_new_mrna	0.218	No mitochondrial presequence	20(MPP)	0.000	81-85	3-12-high	-	-	-	-	-	6-11,17-22	-	-	-	16-21	-	-	-	5-10	
HISTO_ZL.Contig1161a.eannot.1148.final_new_mrna	0.031	No mitochondrial presequence	7(MPP)	0.143	4-8,42-46	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	4-9	-	
HISTO_GL.Contig296.eannot.1357.final_new_mrna	0.000	No mitochondrial presequence	60(MPP)	0.000	67-71	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1131.Fgenesh_Aspergillus.64.final_new_mrna	0.003	No mitochondrial presequence	26(MPP)	-0.038	28-32,31-35,50-54,58-62	6-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161b.Fgenesh_Neurospora.29.final_new_mrna	0.000	No mitochondrial presequence	7(MPP)	-0.143		16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig127c.eannot.1528.final_new_mrna	0.081	No mitochondrial presequence	16(MPP)	0.125	44-48	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161b.Fgenesh_histo.42.final_new_mrna	0.013	No mitochondrial presequence	46(MPP)	0.109	28-32,57-61	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_FX.Contig167.Fgenesh_histo.51.final_new_mrna	0.008	No mitochondrial presequence	24(MPP)	0.083		17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_JF.Contig157.Fgenesh_Aspergillus.37.final_new_mrna	0.000	No mitochondrial presequence	49(MPP)	0.000	25-29,46-50	17-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_EA.Contig33-snap.186.final_new_mrna	0.016	No mitochondrial presequence	38(MPP)	-0.026		9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_EA.Contig33-snap.36.final_new_mrna	0.000	No mitochondrial presequence	43(MPP)	-0.163		8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DA.Contig93.eannot.2025.final_new_mrna	0.000	No mitochondrial presequence	53(MPP)	-0.019	6-10	4-13-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_FO.Contig19.Fgenesh_histo.5.final_new_mrna	0.035	No mitochondrial presequence	29(MPP)	0.103	26-30	9-18-high	-	-	-	-	-	-	-	-	-	-	-	25-30	-	-	
HISTO_JG.Contig206.eannot.1533.final_new_mrna	0.000	No mitochondrial presequence	94(MPP)	-0.032		6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DY.Contig31-snap.73.final_new_mrna	0.037	No mitochondrial presequence	27(MPP)	0.037	90-94	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig1089-snap.66.final_new_mrna	0.000	No mitochondrial presequence	48(MPP)	-0.021	75-79	4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GL.Contig59.Fgenesh_histo.89.final_new_mrna	0.042	No mitochondrial presequence	9(MPP)	0.222	34-38	7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_KF.Contig601.Fgenesh_histo.5.final_new_mrna	0.008	No mitochondrial presequence	14(MPP)	0.071		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig2f.eannot.1076.final_new_mrna	0.000	No mitochondrial presequence	24(MPP)	-0.125		14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_CV.Contig55.fgenesh_plus.1.final_new_mrna	0.000	No mitochondrial presequence	16(MPP)	0.062	29-33	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig174.Fgenesh_histo.16.final_new_mrna	0.011	No mitochondrial presequence	12(MPP)	0.250		12-21-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1117.Fgenesh_Aspergillus.52.final_new_mrna	0.000	No mitochondrial presequence	10(MPP)	-0.100	78-82	11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GI.Contig382.Fgenesh_histo.5.final_new_mrna	0.000	No mitochondrial presequence	79(MPP)	-0.076		11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DA.Contig93.Fgenesh_histo.342.final_new_mrna	0.000	No mitochondrial presequence	44(MPP)	0.023		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GL.Contig285.eannot.1062.final_new_mrna	0.000	No mitochondrial presequence	58(MPP)	0.000	76-80,92-96	9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
